ITEM,MATERIAL,DESCRIPTION,"Supplier Price
July 2025",Supplier Price Sep 2025,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,"2x10""-8' Douglas Fir #2",$11.69,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x10""-10' Douglas Fir #2",$16.50,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x10""-12' Douglas Fir #2",$22.89,$21.50,15.00%,,$24.73,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x10""-14' Douglas Fir #2",$29.50,$27.50,15.00%,,$31.63,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x10""-16' Douglas Fir #2",$24.50,$32.89,15.00%,,$37.82,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x12""-8' Douglas Fir #2",$12.50,$11.89,15.00%,,$13.67,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x12""-10' Douglas Fir #2",$19.69,$19.50,15.00%,,$22.43,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x12""-12' Douglas Fir #2",$24.69,$24.69,15.00%,,$28.39,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x12""-14' Douglas Fir #2",$28.69,$27.50,15.00%,,$31.63,pcs,Builders First Source BFS Group LLC,DF Lumber,
,,"2x12""-16' Douglas Fir #2",$36.69,$36.50,15.00%,,$41.98,pcs,Builders First Source BFS Group LLC,DF Lumber,
,LSL / LVL STUD 2x,"2x4""-8' LSL/LVL Stud",$17.52,$17.52,15.00%,,$20.15,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x4""-10' LSL/LVL Stud",$21.90,$21.90,15.00%,,$25.19,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x4""-12' LSL/LVL Stud",$26.28,$26.28,15.00%,,$30.22,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x4""-16' LSL/LVL Stud",$35.04,$35.04,15.00%,,$40.30,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x4""-20' LSL/LVL Stud",$43.80,$43.80,15.00%,,$50.37,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-8' LSL/LVL Stud",$25.52,$26.32,15.00%,,$30.27,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-10' LSL/LVL Stud",$31.90,$32.90,15.00%,,$37.84,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-12' LSL/LVL Stud",$38.28,$39.48,15.00%,,$45.40,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-16' LSL/LVL Stud",$51.04,$52.64,15.00%,,$60.54,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-20' LSL/LVL Stud",$63.80,$65.80,15.00%,,$75.67,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,"2x6""-24' LSL/LVL Stud",$76.56,$78.96,15.00%,,$90.80,pcs,Builders First Source BFS Group LLC,LVL Lumber,
,,12d-Metabo Stick Nails,$66.96,$0.00,15.00%,,$77.00,boxes,Builders First Source BFS Group LLC,Nails,
,,8d-Metabo Ring Shank Stick Nails,$93.00,$0.00,15.00%,,$106.95,boxes,Builders First Source BFS Group LLC,Nails,
,,"12D-3-1/4"" Galvanized Common Coil 4M",$0.00,$80.91,15.00%,,$93.05,boxes,Builders First Source BFS Group LLC,Nails,
,,"8D-2-3/8"" Galvanized Ring Coil 5M",$0.00,$93.00,15.00%,,$106.95,boxes,Builders First Source BFS Group LLC,Nails,
PT SYP Decking,,5/4x6x8 PT SYP Decking,$0.00,$6.89,15.00%,,$7.92,pcs,Builders First Source BFS Group LLC,Decking,
,,5/4x6x8 PT SYP Decking,$0.00,$8.29,15.00%,,$9.53,pcs,Builders First Source BFS Group LLC,Decking,
,,5/4x6x8 PT SYP Decking,$0.00,$9.69,15.00%,,$11.14,pcs,Builders First Source BFS Group LLC,Decking,
,,5/4x6x8 PT SYP Decking,$0.00,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,Decking,
,,5/4x6x8 PT SYP Decking,$0.00,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,Decking,
,,5/4x6x8 PT SYP Decking,$0.00,$39.75,15.00%,,$45.71,pcs,Builders First Source BFS Group LLC,Decking,
