,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,,,22oz-ea Epoxy Anchor,1tub,$55.63,30.00%,,$72.32,tubs,Fastener Plus,Miscelaneous,,"Strong-Tie SET-3G22-N - 22 Oz. Epoxy Anchor w/ Nozzle, Pkg 1",6/2/2025
,,Silicone,10.1oz-ea Clear caulk silicone,1tub,$8.98,15.00%,,$10.33,tubs,Home Depot,Miscelaneous,,GE All Purpose Silicone 1 Caulk 10.1 oz Window and Door Sealant Clear 2795576 - The Home Depot,
,,,10.1oz-12s Clear caulk silicone,12tubs,$107.76,15.00%,,$123.92,tubs,Home Depot,Miscelaneous,,GE All Purpose Silicone 1 Caulk 10.1 oz Window and Door Sealant Clear (12-pack),
,,Staples,"3/8x3/8"" Collated Staples","2,016",$57.11,15.00%,,$65.68,tubs,Lowes,Miscelaneous,,Tyvek 3/8-in Leg x 3/8-in Narrow Crown Blue 21-Gauge Collated Cap Staples (2016-Per Box),
,,Shim,Shim singles 10/10 Utility,-,$32.99,10.00%,,$36.29,packs,Anderson Lumber,Miscelaneous,,Nelson Wood Shims 16 In. Cedar D-Grade 10/10 Utility Shingles (60 to 90-Count),
 ,HARDWARE,Nails,12D-3-1/4x.120-2.5M Bright Common Coil,2.5K,$51.20,15.00%,,$58.88,boxes,Concord,Nails,,,
,,,8D-2-3/8x.113-2.7M Bright Ring Coil,2.7K,$48.49,15.00%,,$55.76,boxes,Concord,Nails,,,
,,,"12D-3-1/4"" Galvanized Common Coil",2.5K,$81.40,15.00%,,$93.61,boxes,Concord,Nails,,,
,,,"8D-2-3/8"" Galvanized Ring Coil",2.7K,$71.39,15.00%,,$82.10,boxes,Concord,Nails,,,
,,,"1.5x0.131""-1k Galvanized Hanger Nail",1k,$69.99,15.00%,,$80.49,boxes,Concord,Nails,Standar Hanger Nails,"1.5"" x .131 Bostitch PT (paper tape) MCN (metal conector nail) NAIL GAL STRAPSHOT 1M",
,,,"2""-100s Drive Pins with Washers (F+)",100u,$17.20,30.00%,,$22.36,boxes,Fastener Plus,Drive Pins,,"Simpson PDPAWL-200MG 2"" Drive Pins W/1"" Washers - Galvanized, Pkg 100",6/2/2025
,,,"2-1/2""-100s Drive Pins with Washers (F+)",100u,$18.08,30.00%,,$23.50,boxes,Fastener Plus,Drive Pins,,"Simpson PDPAWL-250MG 2-1/2"" Drive Pins W/1"" Washers - Galvanized, Pkg 100",6/2/2025
,,,"2-7/8""-100s Drive Pins with Washers (F+)",100u,$19.34,30.00%,,$25.14,boxes,Fastener Plus,Drive Pins,,"Simpson PDPAWL-287MG 2-7/8"" Drive Pins W/1"" Washers - Galvanized, Pkg 100",6/2/2025
,,,"2-1/2""-100s Drive Pins with Washers (HD)",100u,$24.78,15.00%,,$28.50,boxes,Home Depot,Drive Pins,,"RAMSET 2-1/2"" Drive Pins with Washers (100-Pack)",
,,,"3""-100s Drive Pins with Washers (HD)",100u,$26.48,15.00%,,$30.45,boxes,Home Depot,Drive Pins,Most common nail lenght,RAMSET 3 in. Drive Pins with Washers (100-Pack),
,,,"Hilti_X-U_1-1/4"" Galvanized",100,$88.25,15.00%,,$101.49,boxes,Home Depot,Drive Pins,,Hilti X-U 32 P8 1-1/4 in. Galvanized Universal Nail for Steel and Concrete Using Powder-Actuated Nails (100-Pack) 2141087 - The Home Depot,4/2/2025
,,,"Hilti_X-U_2-7/8"""" Galvanized",100,$158.00,15.00%,,$181.70,boxes,Home Depot,Drive Pins,,Hilti X-U 72 P8 2-7/8 in. Galvanized Universal Nail for Steel and Concrete Using Powder-Actuated Tools (100-Pack) 2141184 - The Home Depot,4/2/2025
,,,"1-1/2"" 1lb Roofing Nails",174u,$5.78,15.00%,,$6.65,boxes,Home Depot,Nails,"For windows and exterior doors install, use 2"" or 2.5"" only",Grip-Rite #11 x 1-1/2 in. Electro-Galvanized Steel Roofing Nails (1 lb.-Pack),
,,,"1-1/2"" 5lb Roofing Nails",867u,$18.87,15.00%,,$21.70,boxes,Home Depot,Nails,,Grip-Rite #11 x 1-1/2 in. Electro-Galvanized Steel Roofing Nails (5 lb.-Pack),
,,,"1-1/2"" 30lb Roofing Nails",5210u,$55.62,15.00%,,$63.96,boxes,Home Depot,Nails,,Grip-Rite #11 x 1-1/2 in. Electro-Galvanized Steel Roofing Nails (30 lb.-Pack),
,,,"1-1/2"" 50lb Roofing Nails",8700u,$58.48,15.00%,,$67.25,boxes,Home Depot,Nails,,Grip-Rite #11 x 1-1/2 in. Electro-Galvanized Steel Roofing Nails (50 lb.-Pack),
,,,"2"" 1lb Roofing Nails",127u,$5.78,15.00%,,$6.65,boxes,Home Depot,Nails,,Grip-Rite #11 x 2 in. Electro-Galvanized Steel Roofing Nails (1 lb.-Pack),
,,,"2"" 5lb Roofing Nails",636u,$18.87,15.00%,,$21.70,boxes,Home Depot,Nails,,Grip-Rite #11 x 2 in. Electro-Galvanized Steel Roofing Nails (5 lb.-Pack),
,,,"2-1/2"" Roofing Nails",523u,$18.87,15.00%,,$21.70,boxes,Home Depot,Nails,,Grip-Rite #11 x 2-1/2 in. Electro-Galvanized Steel Roofing Nails (5 lb.-Pack),
,,Screws,"1/4x2-1/2""-25u Coating Screw Connector",25u,$9.76,30.00%,,$12.69,boxes,Fastener Plus,Screws,,"1/4"" x 2-1/2"" Strong-Tie SDS25212-R25 Heavy-Duty Connector Screw - Double-Barrier Coating, Pkg 25",6/2/2025
,,,"1/4x3-1/2""-125u Coating Screw Connector",125u,$59.46,30.00%,,$77.30,boxes,Fastener Plus,Screws,,"1/4"" x 3-1/2"" Strong-Tie SDS25312MB Heavy-Duty Connector Screw - Double-Barrier Coating, Pkg 125",6/2/2025
,,,"1/4x4-1/2""-10u Coating Screw Connector",10u,$9.20,30.00%,,$11.96,boxes,Fastener Plus,Screws,,"1/4"" x 4-1/2"" Strong-Tie SDS25412-R10 Heavy-Duty Connector Screw - Double-Barrier Coating, Pkg 10",6/2/2025
,,,"1/4x5""-100u Coating Screw Connector",100u,$88.61,30.00%,,$115.19,boxes,Fastener Plus,Screws,,"1/4"" x 5"" Strong-Tie SDS25500MB Heavy-Duty Connector Screw - Double-Barrier Coating, Pkg 100",6/2/2025
,,,"1/4""x6""-100u Coating Screw Connector",100u,$108.89,30.00%,,$141.56,pcs,Fastener Plus,Screws,,"1/4"" x 6"" Strong-Tie SDS25600MB Heavy-Duty Connector Screw - Double-Barrier Coating, Pkg 100",6/2/2025
,,,"1/2x8""-20u Galvanized Titen HD Screw Anchor",20u,$181.90,30.00%,,$236.47,boxes,Fastener Plus,Screws,,"1/2"" x 8"" Strong-Tie THD50800HMG Titen HD Screw Anchor, Galvanized, Pkg 20",6/2/2025
,,,"#9x2-1/2""-100u Galvanized Screws",100u,$17.79,30.00%,,$23.13,boxes,Fastener Plus,Screws,,"#9 x 2-1/2"" Strong-Tie SD9212R100-R Connector Screw - Class 55 Galvanized, Pkg 100",6/2/2025
,,,"#9x1-1/2""-500u Galvanized Screws",500u,$53.46,30.00%,,$69.50,boxes,Fastener Plus,Screws,,"#9 x 1-1/2"" Strong-Tie SD9112R500 Connector Screw - Class 55 Galvanized, Pkg 500",6/2/2025
,,,"2"" 50lf Cortex Screws and plugs",50lf,$28.47,15.00%,,$32.74,boxes,Home Depot,Screws,,Fasten Master Collated Cortex Hidden Fastening System for AZEK Trim – 2 inch Cortex screws and plugs – Traditional (50 LF),
,,,"2-3/4"" 50lf Cortex Screws and plugs",50lf,$33.80,15.00%,,$38.87,boxes,Home Depot,Screws,,Fasten Master Collated Cortex Hidden Fastening System for Veranda Trim – 2-3/4 inch Cortex screws and plugs – Smooth (50 LF),
,,,"4-1/4""Screw LedgerLOK Structural Ledger Board Screw (50 Pack)",50pcs,$42.50,15.00%,,$48.88,boxes,Home Depot,Screws,,https://www.homedepot.com/p/FastenMaster-HeadLOK-Structural-Wood-Screws-4-1-4-inch-flat-head-wood-screws-Black-50-Pack-FMHLGM412-50/202268258,
,,,"5""Screw LedgerLOK Structural Ledger Board Screw (50 Pack)",50pcs,$48.97,15.00%,,$56.32,boxes,Home Depot,Screws,,https://www.homedepot.com/p/FastenMaster-LedgerLOK-Structural-Ledger-Board-Screws-5-inch-wood-screws-with-hex-head-Gray-50-Pack-FMLL005-50/202268256,
,,,"6""Screw LedgerLOK Structural Ledger Board Screw (50 Pack)",50pcs,$41.97,15.00%,,$48.27,boxes,Home Depot,Screws,,https://www.homedepot.com/p/FastenMaster-TimberLOK-Structural-Wood-Screws-6-inch-wood-screws-with-hex-head-Black-50-Pack-FMTLOK06-50/202268250,
,,,"0.152""x6""-50u Screw_OrangeZinc",50pcs,$43.68,30.00%,,$56.78,boxes,Fastener Plus,Screws,,"0.152"" x 6"" Strong-Tie SDWC15600-KT Truss Plate Structural Screw - Orange Zinc, Pkg 50",6/2/2025
,,,"1-3/4"" Subfloor Screws Yellow Zinc","2,000",$299.00,30.00%,,$388.70,boxes,Fastener Plus,Nails,,"#9 x 1-3/4"" Quik Drive WSV Subfloor Screw, Yellow Zinc, Pkg 2000 – Fasteners Plus",6/2/2025
,,Holdowns,HDU2-SDS2.5 Galvanized,-,$47.70,30.00%,,$62.01,pcs,Fastener Plus,Fasteners,,"Simpson HDU2-SDS2.5HDG 8-11/16"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU2-SDS2.5 Metal,-,$28.59,30.00%,,$37.17,pcs,Fastener Plus,Fasteners,,"Simpson HDU2-SDS2.5 8-11/16"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,,HDU4-SDS2.5 Galvanized,-,$53.66,30.00%,,$69.76,pcs,Fastener Plus,Fasteners,,"Simpson HDU4-SDS2.5HDG 10-15/16"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU4-SDS2.5 Metal,-,$35.28,30.00%,,$45.86,pcs,Fastener Plus,Fasteners,,"Simpson HDU4-SDS2.5 10-15/16"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,,HDU5-SDS2.5 Galvanized,-,$65.11,30.00%,,$84.64,pcs,Fastener Plus,Fasteners,,"Simpson HDU5-SDS2.5HDG 13-3/16"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU5-SDS2.5 Metal,-,$40.12,30.00%,,$52.16,pcs,Fastener Plus,Fasteners,,"Simpson HDU5-SDS2.5 13-3/16"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,,HDU8-SDS2.5 Galvanized,-,$98.60,30.00%,,$128.18,pcs,Fastener Plus,Fasteners,,"Simpson HDU8-SDS2.5HDG 16-5/8"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU8-SDS2.5 Metal,-,$54.20,30.00%,,$70.46,pcs,Fastener Plus,Fasteners,,"Simpson HDU8-SDS2.5 16-5/8"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,,HDU11-SDS2.5 Galvanized,-,$124.27,30.00%,,$161.55,pcs,Fastener Plus,Fasteners,,"Simpson HDU11-SDS2.5HDG 22-1/4"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU11-SDS2.5 Metal,-,$69.59,30.00%,,$90.47,pcs,Fastener Plus,Fasteners,,"Simpson HDU11-SDS2.5 22-1/4"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,,HDU14-SDS2.5 Galvanized,-,$149.86,30.00%,,$194.82,pcs,Fastener Plus,Fasteners,,"Simpson HDU14-SDS2.5HDG 25-11/16"" Predeflected Holdown w/Screws - Hot Dip Galvanized",6/2/2025
,,,HDU14-SDS2.5 Metal,-,$93.18,30.00%,,$121.13,pcs,Fastener Plus,Fasteners,,"Simpson HDU14-SDS2.5 25-11/16"" Predeflected Holdown w/Screws – Fasteners Plus",6/2/2025
,,Roof Truss Clip,STC_Clip 18 Gauge,-,$0.72,30.00%,,$0.94,pcs,Fastener Plus,Fasteners,,Simpson STC Roof Truss 18 Gauge Clips,6/2/2025
,,,HTC4 18 Gauge,-,$6.52,30.00%,,$8.48,pcs,Fastener Plus,Fasteners,,Simpson HTC4 Heavy Truss 18 Gauge Clip,6/2/2025
,,,DTC 18 Gauge,-,$1.85,30.00%,,$2.41,pcs,Fastener Plus,Fasteners,,Simpson DTC Roof Truss 18 Gauge Clips – Fasteners Plus,6/2/2025
,,Angles,A21 Galvanized,-,$0.90,30.00%,,$1.17,pcs,Fastener Plus,Fasteners,,"Simpson A21 2"" x 1-1/2"" Angle - G90 Galvanized",7/29/2025
,,,A34 Galvanized,-,$0.59,30.00%,,$0.77,pcs,Fastener Plus,Fasteners,,"Simpson A34 1-7/16"" x 2-1/2"" Framing Angle Anchor - G90 Galvanized",6/2/2025
,,,A35 Angle Galvanized (F+),-,$0.61,30.00%,,$0.79,pcs,Fastener Plus,Fasteners,,"Simpson A35 1-7/16"" x 4-1/2"" Framing Angle Anchor - G90 Galvanized",6/2/2025
,,,A35 Angle Galvanized (HD),-,$0.88,15.00%,,$1.01,pcs,Home Depot,Fasteners,,Simpson Strong-Tie 1-7/16 in. x 4-1/2 in. Galvanized Framing Angle,
,,,"GA2_3-1/4"" Angle Gusset",-,$1.23,30.00%,,$1.60,pcs,Fastener Plus,Fasteners,,"Simpson GA2 3-1/4"" Gusset Angle, Pkg 1",6/2/2025
,,,"GA2_2-3/4"" Angle Gusset",-,$0.97,30.00%,,$1.26,pcs,Fastener Plus,Fasteners,,"Simpson GA1 2-3/4"" Gusset Angle, Pkg 1",6/2/2025
,,,L30 Angle Galvanized (F+),-,$1.26,30.00%,,$1.64,pcs,Fastener Plus,Fasteners,,"Simpson L30 3"" Reinforcing Angle - G90 Galvanized – Fasteners Plus",6/2/2025
,,,L30 Angle Galvanized (HD),-,$1.42,15.00%,,$1.63,pcs,Home Depot,Fasteners,,Simpson Strong-Tie 3 in. 16-Gauge Galvanized Reinforcing L Angle,
,,,L50 Angle Galvanized,-,$2.38,15.00%,,$2.74,pcs,Home Depot,Fasteners,,Simpson Strong-Tie 5 in. 16-Gauge Galvanized Reinforcing L Angle,
,,,L70 Angle Galvanized (F+),-,$3.24,15.00%,,$3.73,pcs,Home Depot,Fasteners,,Simpson Strong-Tie 7 in. 16-Gauge Galvanized Reinforcing L Angle,
,,,L70 Angle Galvanized (HD),-,$3.28,30.00%,,$4.26,pcs,Fastener Plus,Fasteners,,"Simpson L70 7"" Reinforcing Angle - G90 Galvanized",6/2/2025
,,,L90 Angle Galvanized,-,$4.88,15.00%,,$5.61,pcs,Home Depot,Fasteners,,Simpson Strong-Tie 9 in. 16-Gauge Galvanized Reinforcing L Angle,
,,,L50Z Angle Zmax,-,$2.79,30.00%,,$3.63,pcs,Fastener Plus,Fasteners,,"Simpson L50Z 5"" Reinforcing Angle - Zmax Finish – Fasteners Plus",6/2/2025
,,,L70Z Angle Zmax,-,$3.70,30.00%,,$4.81,pcs,Fastener Plus,Fasteners,,"Simpson L70Z 7"" Reinforcing Angle - Zmax Finish",6/2/2025
,,,L90Z Angle Zmax,-,$5.25,30.00%,,$6.83,pcs,Fastener Plus,Fasteners,,"Simpson L90Z 9"" Reinforcing Angle - Zmax Finish",6/2/2025
,,Retrofit Bolts,"1/2X5"" Retrofit Bolt Galvanized",-,$4.19,30.00%,,$5.45,pcs,Fastener Plus,Fasteners,,"1/2"" x 5"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"1/2X6"" Retrofit Bolt Galvanized",-,$4.29,30.00%,,$5.58,pcs,Fastener Plus,Fasteners,,"1/2"" x 6"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"1/2X7"" Retrofit Bolt Galvanized",-,$4.49,30.00%,,$5.84,pcs,Fastener Plus,Fasteners,,"1/2"" x 7"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"1/2X8""-2s Retrofit Bolt Galvanized",2pcs,$10.84,30.00%,,$14.09,pairs,Fastener Plus,Fasteners,,"1/2"" x 8"" Hot-Dip Galvanized Retrofit Bolt, Pkg 2",6/2/2025
,,,"1/2X10"" Retrofit Bolt Galvanized",-,$6.81,30.00%,,$8.85,pcs,Fastener Plus,Fasteners,,"1/2"" x 10"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"5/8X5"" Retrofit Bolt Galvanized",-,$5.74,30.00%,,$7.46,pcs,Fastener Plus,Fasteners,,"5/8"" x 5"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"5/8X8""-2s Retrofit Bolt Galvanized",2pcs,$16.25,30.00%,,$21.13,pairs,Fastener Plus,Fasteners,,"5/8"" x 8"" Hot-Dip Galvanized Retrofit Bolt, Pkg 2",6/2/2025
,,,"5/8X10"" Retrofit Bolt Galvanized",-,$9.09,30.00%,,$11.82,pcs,Fastener Plus,Fasteners,,"5/8"" x 10"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"5/8X12""-2s Retrofit Bolt Galvanized",2pcs,$16.85,30.00%,,$21.91,pairs,Fastener Plus,Fasteners,,"5/8"" x 12"" Hot-Dip Galvanized Retrofit Bolt, Pkg 2",6/2/2025
,,,"5/8X16"" Retrofit Bolt Galvanized",-,$14.14,30.00%,,$18.38,pcs,Fastener Plus,Fasteners,,"5/8"" x 16"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,,"3/4X10-1/2"" Retrofit Bolt Galvanized",-,$18.11,30.00%,,$23.54,pcs,Fastener Plus,Fasteners,,"3/4"" x 10-1/2"" Hot-Dip Galvanized Retrofit Bolt",6/2/2025
,,Pre-assembled Bolts,"5/8""-11x14"" AnchorL-Bolt_Pre-AssemblyHDG",,$4.86,30.00%,,$6.32,pcs,Fastener Plus,Fasteners,,"5/8""-11 x 14"" L-Bolt Concrete Anchor Bolt - Hot Dip Galvanized",6/2/2025
,,,"1/2X12"" Anchor Bolt Pre-Assembly Galvanized",-,$25.47,30.00%,,$33.11,pcs,Fastener Plus,Fasteners,,"1/2"" x 12"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"1/2X18"" Anchor Bolt Pre-Assembly Galvanized",-,$27.31,30.00%,,$35.50,pcs,Fastener Plus,Fasteners,,"1/2"" x 18"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"1/2X24"" Anchor Bolt Pre-Assembly Galvanized",-,$28.23,30.00%,,$36.70,pcs,Fastener Plus,Fasteners,,"1/2"" x 24"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"5/8X12"" Anchor Bolt Pre-Assembly Galvanized",-,$30.16,30.00%,,$39.21,pcs,Fastener Plus,Fasteners,,"5/8"" x 12"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"5/8X18"" Anchor Bolt Pre-Assembly Galvanized",-,$32.28,30.00%,,$41.96,pcs,Fastener Plus,Fasteners,,"5/8"" x 18"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"5/8X24"" Anchor Bolt Pre-Assembly Galvanized",-,$35.31,30.00%,,$45.90,pcs,Fastener Plus,Fasteners,,"5/8"" x 24"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"5/8X30"" Anchor Bolt Pre-Assembly Galvanized",-,$38.35,30.00%,,$49.86,pcs,Fastener Plus,Fasteners,,"5/8"" x 30"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"5/8X36"" Anchor Bolt Pre-Assembly Galvanized",-,$41.36,30.00%,,$53.77,pcs,Fastener Plus,Fasteners,,"5/8"" x 36"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"3/4X12"" Anchor Bolt Pre-Assembly Galvanized",-,$36.59,30.00%,,$47.57,pcs,Fastener Plus,Fasteners,,"3/4"" x 12"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"3/4X18"" Anchor Bolt Pre-Assembly Galvanized",-,$39.84,30.00%,,$51.79,pcs,Fastener Plus,Fasteners,,"3/4"" x 18"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"3/4X24"" Anchor Bolt Pre-Assembly Galvanized",-,$44.37,30.00%,,$57.68,pcs,Fastener Plus,Fasteners,,"3/4"" x 24"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"3/4X30"" Anchor Bolt Pre-Assembly Galvanized",-,$50.20,30.00%,,$65.26,pcs,Fastener Plus,Fasteners,,"3/4"" x 30"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,,"3/4X36"" Anchor Bolt Pre-Assembly Galvanized",-,$53.97,30.00%,,$70.16,pcs,Fastener Plus,Fasteners,,"3/4"" x 36"" Hot Dip Galvanized Pre-Assembled Anchor Bolt",6/2/2025
,,Heavy Hex Bolt,"1/2X2"" Hex Galvanized A325",-,$0.88,30.00%,,$1.14,pcs,Fastener Plus,Fasteners,,"1/2""-13 x 2"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"1/2X3"" Hex Galvanized A325",-,$1.47,30.00%,,$1.91,pcs,Fastener Plus,Fasteners,,"1/2""-13 x 3"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"1/2X4"" Hex Galvanized A325",-,$1.86,30.00%,,$2.42,pcs,Fastener Plus,Fasteners,,"1/2""-13 x 4"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"1/2X5"" Hex Galvanized A325",-,$2.31,30.00%,,$3.00,pcs,Fastener Plus,Fasteners,,"1/2""-13 x 5"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"5/8X2"" Hex Galvanized A325",-,$1.23,30.00%,,$1.60,pcs,Fastener Plus,Fasteners,,"5/8""-11 x 2"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"5/8X3"" Hex Galvanized A325",-,$1.98,30.00%,,$2.57,pcs,Fastener Plus,Fasteners,,"5/8""-11 x 3"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"5/8X4"" Hex Galvanized A325",-,$2.66,30.00%,,$3.46,pcs,Fastener Plus,Fasteners,,"5/8""-11 x 4"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"5/8X5"" Hex Galvanized A325",-,$3.19,30.00%,,$4.15,pcs,Fastener Plus,Fasteners,,"5/8""-11 x 5"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"3/4X2"" Hex Galvanized A325",-,$1.81,30.00%,,$2.35,pcs,Fastener Plus,Fasteners,,"3/4""-10 x 2"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"3/4X4"" Hex Galvanized A325",-,$3.98,30.00%,,$5.17,pcs,Fastener Plus,Fasteners,,"3/4""-10 x 4"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"3/4X5"" Hex Galvanized A325",-,$4.73,30.00%,,$6.15,pcs,Fastener Plus,Fasteners,,"3/4""-10 x 5"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"3/4X6"" Hex Galvanized A325",-,$5.49,30.00%,,$7.14,pcs,Fastener Plus,Fasteners,,"3/4""-10 x 6"" Conquest A325 Type 1 Heavy Hex Structural Bolt, Hot Dip Galvanized",6/2/2025
,,,"5/16""-9x4"" Hex Head Lag Bolt Galvanized",-,$0.72,30.00%,,$0.94,pcs,Fastener Plus,Lag Bolt,,"5/16""-9 x 4"" Conquest Hex Head Lag Bolt for Wood - Hot Dip Galvanized",
,,,"1/2""-6x4-1/2"" Hex Head Lag Bolt Galvanized",-,$1.50,30.00%,,$1.95,pcs,Fastener Plus,Lag Bolt,,"6 x 4-1/2"" Conquest Hex Head Lag Bolt for Wood - Hot Dip Galvanized – Fasteners Plus",6/2/2025
,,Clips,"5/8""-50s PSCL Clip",50pcs,$11.95,30.00%,,$15.54,packs,Fastener Plus,Fasteners,,"Simpson PSCL 5/8-R50 - 5/8"" Plywood Sheathing Clips, Pkg 50",6/2/2025
,,,"5/8""-250s PSCL Clip",250pcs,$30.44,30.00%,,$39.57,packs,Fastener Plus,Fasteners,,"Simpson PSCL 5/8 - 5/8"" Plywood Sheathing Clips, Pkg 250",6/2/2025
,,Hangers,"HGU5.5x-16"" Galvanized",-,$242.90,30.00%,,$315.77,pcs,Fastener Plus,Fasteners,,"Simpson HGU5.50X-SDS Heavy Girder Face Mount Hanger, Made to Order Non-Returnable",6/2/2025
,,,"HHGU5.5x-16"" Galvanized",-,$298.15,30.00%,,$387.60,pcs,Fastener Plus,Fasteners,,"HHGU5.50X-SDS 5-1/4"" Extra Heavy Girder Hanger, Made to Order Non-Returnable",6/2/2025
,,,HHUS5.50/10 Galvanized,-,$29.10,30.00%,,$37.83,pcs,Fastener Plus,Fasteners,,Simpson HHUS5.50/10 Face Mount I-Joist Hanger- G90 Galvanized,6/2/2025
,,,HTU210 Galvanized,,$10.43,30.00%,,$13.56,pcs,Fastener Plus,Hanger,,Simpson HTU210 2x10 Heavy Face Mount Truss Hanger - G90 Galvanized – Fasteners Plus,6/2/2025
,,,HU1.81/5 Galvanized,-,$15.24,30.00%,,$19.81,pcs,Fastener Plus,I-Joist Hanger,,Simpson HU1.81/5 Face Mount I-Joist Hanger- G90 Galvanized,6/2/2025
,,,HU210 Galvanized,-,$9.50,30.00%,,$12.35,pcs,Fastener Plus,Hanger,,Simpson HU210 2x10 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU210-2 Galvanized,-,$19.65,30.00%,,$25.55,pcs,Fastener Plus,Hanger,,Simpson HU210-2 Double 2x10 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU210-3 Galvanized,-,$36.40,30.00%,,$47.32,pcs,Fastener Plus,Hanger,,Simpson HU210-3 Triple 2x10 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU212 Galvanized,-,$11.55,30.00%,,$15.02,pcs,Fastener Plus,Hanger,,Simpson HU212 2x12 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU212-2 Galvanized,-,$24.82,30.00%,,$32.27,pcs,Fastener Plus,Hanger,,Simpson HU212-2 Double 2x12 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU212-3 Galvanized,-,$48.69,30.00%,,$63.30,pcs,Fastener Plus,Hanger,,Simpson HU212-3 Triple 2x12 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU214 Galvanized,-,$16.32,30.00%,,$21.22,pcs,Fastener Plus,Hanger,,Simpson HU214 2x14 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU214-2 Galvanized,-,$37.73,30.00%,,$49.05,pcs,Fastener Plus,Hanger,,Simpson HU214-2 Double 2x14 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU214-3 Galvanized,-,$60.06,30.00%,,$78.08,pcs,Fastener Plus,Hanger,,Simpson HU214-3 Triple 2x14 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
,,,HU216 Galvanized,-,$28.85,30.00%,,$37.51,pcs,Fastener Plus,Hanger,,Simpson HU216 2x16 Face Mount Joist Hanger - G90 Galvanized,6/2/2025
