,,,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES,LINK,TIMESTAMP
,SPRUCE PINE FIR,SPF#2,"2x4""-92-5/8"" SPF#2",-,$3.00,28.00%,,$3.84,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-8' SPF#2",-,$3.01,28.00%,,$3.85,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-104-5/8"" SPF#2",-,$3.32,28.00%,,$4.25,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-10' SPF#2",-,$3.76,28.00%,,$4.82,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-12' SPF#2",-,$4.68,28.00%,,$5.98,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-14' SPF#2",-,$5.87,28.00%,,$7.52,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x4""-16' SPF#2",-,$7.73,28.00%,,$9.89,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-92-5/8"" SPF#2",-,$4.49,28.00%,,$5.75,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-8' SPF#2",-,$4.59,28.00%,,$5.88,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-104-5/8"" SPF#2",-,$4.97,28.00%,,$6.36,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-10' SPF#2",-,$5.75,28.00%,,$7.36,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-12' SPF#2",-,$6.72,28.00%,,$8.60,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-14' SPF#2",-,$7.14,28.00%,,$9.14,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-16' SPF#2",-,$9.36,28.00%,,$11.98,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-18' SPF#2",-,$10.25,28.00%,,$13.13,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x6""-20' SPF#2",-,$14.90,28.00%,,$19.07,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-8' SPF#2",-,$5.95,28.00%,,$7.61,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-10' SPF#2",-,$7.43,28.00%,,$9.52,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-12' SPF#2",-,$9.08,28.00%,,$11.62,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-14' SPF#2",-,$10.59,28.00%,,$13.56,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-16' SPF#2",-,$12.11,28.00%,,$15.50,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-18' SPF#2",-,$17.84,28.00%,,$22.83,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x8""-20' SPF#2",-,$19.82,28.00%,,$25.37,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x10""-8' SPF#2",-,$8.50,28.00%,,$10.88,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x10""-10' SPF#2",-,$11.12,28.00%,,$14.24,pcs,Gillies & Prittie Warehouse,SPF Lumber,,,
,,,"2x10""-12' SPF#2",-,$13.35,25.00%,,$16.68,pcs,Fairway Lumber,SPF Lumber,,,
