,ITEM,MATERIAL,DESCRIPTION,QTY,Supplier Price,MARKUP %,,CX PRICE with markup,UNIT,SUPPLIER,MATERIAL TYPE,NOTES
,,,"2x6""-12' SPF#2",,$7.19,15.00%,,$8.27,pcs,Builders First Source BFS Group LLC,SPF Lumber,Higher price taked from BFS quote 672570
,,,"2x6""-14' SPF#2",,$7.50,15.00%,,$8.63,pcs,Builders First Source BFS Group LLC,SPF Lumber,Higher price taked from BFS quote 672570
,,,"2x6""-16' SPF#2",,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x6""-18' SPF#2",,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x6""-20' SPF#2",,$17.89,15.00%,,$20.57,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x6""-24' SPF#2",,$31.50,15.00%,,$36.23,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-8' SPF#2",,$6.69,15.00%,,$7.69,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-10' SPF#2",,$8.09,15.00%,,$9.30,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-12' SPF#2",,$10.99,15.00%,,$12.64,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-14' SPF#2",,$11.50,15.00%,,$13.23,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-16' SPF#2",,$13.69,15.00%,,$15.74,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-18' SPF#2",,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x8""-20' SPF#2",,$23.50,15.00%,,$27.03,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-8' SPF#2",,$9.50,15.00%,,$10.93,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-10' SPF#2",,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-12' SPF#2",,$18.50,15.00%,,$21.28,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-14' SPF#2",,$19.50,15.00%,,$22.43,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-16' SPF#2",,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-18' SPF#2",,$22.99,15.00%,,$26.44,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x10""-20' SPF#2",,$27.50,15.00%,,$31.63,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-8' SPF#2",,$13.50,15.00%,,$15.53,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-10' SPF#2",,$18.89,15.00%,,$21.72,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-12' SPF#2",,$25.50,15.00%,,$29.33,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-14' SPF#2",,$27.50,15.00%,,$31.63,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-16' SPF#2",,$38.89,15.00%,,$44.72,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-18' SPF#2",,$39.50,15.00%,,$45.43,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,,,"2x12""-20' SPF#2",,$45.50,15.00%,,$52.33,pcs,Builders First Source BFS Group LLC,SPF Lumber,
,PRESSURE TREATED LUMBER,PT 2x-4x-6x,"2x4""-8' PT",,$6.29,15.00%,,$7.23,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x4""-10' PT",,$7.29,15.00%,,$8.38,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x4""-12' PT",,$8.19,15.00%,,$9.42,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x4""-14' PT",,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x4""-16' PT",,$13.50,15.00%,,$15.53,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x6""-8' PT",,$8.50,15.00%,,$9.78,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x6""-10' PT",,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x6""-12' PT",,$12.50,15.00%,,$14.38,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x6""-14' PT",,$13.69,15.00%,,$15.74,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x6""-16' PT",,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x8""-8' PT",,$11.69,15.00%,,$13.44,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x8""-10' PT",,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x8""-12' PT",,$15.50,15.00%,,$17.83,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x8""-14' PT",,$17.69,15.00%,,$20.34,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x8""-16' PT",,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x10""-8' PT",,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x10""-10' PT",,$16.69,15.00%,,$19.19,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x10""-12' PT",,$22.50,15.00%,,$25.88,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x10""-14' PT",,$23.89,15.00%,,$27.47,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x10""-16' PT",,$28.89,15.00%,,$33.22,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x12""-8' PT",,$17.89,15.00%,,$20.57,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x12""-10' PT",,$20.99,15.00%,,$24.14,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x12""-12' PT",,$24.89,15.00%,,$28.62,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x12""-14' PT",,$28.89,15.00%,,$33.22,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"2x12""-16' PT",,$34.50,15.00%,,$39.68,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"4x4""-8' PT",,$14.50,15.00%,,$16.68,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"4x4""-10' PT",,$17.50,15.00%,,$20.13,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"4x4""-12' PT",,$20.25,15.00%,,$23.29,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"4x4""-16' PT",,$27.89,15.00%,,$32.07,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"4x8""-12' PT",,$68.47,15.00%,,$78.74,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"6x6""-8' PT",,$34.50,15.00%,,$39.68,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"6x6""-10' PT",,$41.50,15.00%,,$47.73,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"6x6""-12' PT",,$47.50,15.00%,,$54.63,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"6x6""-14' PT",,$42.89,15.00%,,$49.32,pcs,Builders First Source BFS Group LLC,PT Lumber,
,,,"6x6""-16' PT",,$61.89,15.00%,,$71.17,pcs,Builders First Source BFS Group LLC,PT Lumber,
,Common Pine S4S,,"1x8""x14' Common Pine S4S",,$2.29,15.00%,,$2.63,pcs,Builders First Source BFS Group LLC,Common Pine,
,RIMBOARD,OSB Rimboard,"9-1/2""-1' OSB Rimboard",,$2.69,15.00%,,$3.09,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,,"11-7/8""-1' OSB Rimboard",,$3.19,15.00%,,$3.67,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,,"14""-1' OSB Rimboard",,$3.50,15.00%,,$4.03,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,,"16""-1' OSB Rimboard",,$4.19,15.00%,,$4.82,lf,Builders First Source BFS Group LLC,OSB Rimboard,
,,,"1-3/4x5-1/2"" LVL",,$4.19,15.00%,,$4.82,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x7-1/2"" LVL",,$6.19,15.00%,,$7.12,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x9-1/2"" LVL",,$7.50,15.00%,,$8.63,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x11-7/8"" LVL",,$8.50,15.00%,,$9.78,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x14"" LVL",,$9.50,15.00%,,$10.93,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x16"" LVL",,$11.69,15.00%,,$13.44,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x18"" LVL",,$12.69,15.00%,,$14.59,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x20"" LVL",,$16.50,15.00%,,$18.98,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"1-3/4x24"" LVL",,$17.89,15.00%,,$20.57,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"3-1/2x9-1/2"" LVL",,$17.69,15.00%,,$20.34,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"3-1/2x11-7/8"" LVL",,$20.99,15.00%,,$24.14,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"3-1/2x14"" LVL",,$24.69,15.00%,,$28.39,lf,Builders First Source BFS Group LLC,LVL Lumber,
,,,"3-1/2x18"" LVL",,$31.50,15.00%,,$36.23,lf,Builders First Source BFS Group LLC,LVL Lumber,
